objectsWith2,total2Objects,ImageID,_nObjects_,_Object0_,_Object0_x,_Object0_y,_Object0_width,_Object0_height,_Object1_,_Object1_x,_Object1_y,_Object1_width,_Object1_height,_Object2_,_Object2_x,_Object2_y,_Object2_width,_Object2_height,_Object3_,_Object3_x,_Object3_y,_Object3_width,_Object3_height,_Object4_,_Object4_x,_Object4_y,_Object4_width,_Object4_height,_Object5_,_Object5_x,_Object5_y,_Object5_width,_Object5_height,_Object6_,_Object6_x,_Object6_y,_Object6_width,_Object6_height,_Object7_,_Object7_x,_Object7_y,_Object7_width,_Object7_height,_Object8_,_Object8_x,_Object8_y,_Object8_width,_Object8_height,_Object9_,_Object9_x,_Object9_y,_Object9_width,_Object9_height,_Object10_,_Object10_x,_Object10_y,_Object10_width,_Object10_height,_Object11_,_Object11_x,_Object11_y,_Object11_width,_Object11_height,_Object12_,_Object12_x,_Object12_y,_Object12_width,_Object12_height,_Object13_,_Object13_x,_Object13_y,_Object13_width,_Object13_height,_Object14_,_Object14_x,_Object14_y,_Object14_width,_Object14_height,_Object15_,_Object15_x,_Object15_y,_Object15_width,_Object15_height,_Object16_,_Object16_x,_Object16_y,_Object16_width,_Object16_height,_Object17_,_Object17_x,_Object17_y,_Object17_width,_Object17_height,_Object18_,_Object18_x,_Object18_y,_Object18_width,_Object18_height,_Object19_,_Object19_x,_Object19_y,_Object19_width,_Object19_height,_Object20_,_Object20_x,_Object20_y,_Object20_width,_Object20_height,_Object21_,_Object21_x,_Object21_y,_Object21_width,_Object21_height,_Object22_,_Object22_x,_Object22_y,_Object22_width,_Object22_height,_Object23_,_Object23_x,_Object23_y,_Object23_width,_Object23_height,_Object24_,_Object24_x,_Object24_y,_Object24_width,_Object24_height,_Object25_,_Object25_x,_Object25_y,_Object25_width,_Object25_height,_Object26_,_Object26_x,_Object26_y,_Object26_width,_Object26_height,objectNameHolder,xHolder,yHolder,heightHolder,widthHolder,new_column_placement,column
"_Object4_, _Object5_, _Object6_",3,Hframe (11834).JPG,8,2,0.6633522727,0.532996633,0.0107954545,0.0895622896,2,0.8051136364,0.5230639731,0.0136363636,0.0898989899,2,0.9451704545,0.515993266,0.0164772727,0.0892255892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9451704545,0.515993266,0.0892255892,0.0164772727,4,28
,0,Hframe (11835).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9451704545,0.515993266,0.0892255892,0.0164772727,1,28
"_Object4_, _Object5_",2,Hframe (1184).JPG,7,2,0.603125,0.4932659933,0.0066287879,0.0734006734,2,0.5805871212,0.837037037,0.0077651515,0.0976430976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5805871212,0.837037037,0.0976430976,0.0077651515,3,28
"_Object7_, _Object8_, _Object9_",3,Hframe (11840).JPG,11,2,0.4426136364,0.4297979798,0.003030303,0.0306397306,2,0.4819128788,0.431986532,0.0028409091,0.030976431,2,0.5208333333,0.434006734,0.0018939394,0.0303030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5208333333,0.434006734,0.0303030303,0.0018939394,4,28
"_Object4_, _Object5_",2,Hframe (11841).JPG,6,2,0.2505681818,0.2656565657,0.0314393939,0.1622895623,2,0.2153409091,0.9195286195,0.0503787879,0.1212121212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2153409091,0.9195286195,0.1212121212,0.0503787879,3,28
,0,Hframe (11842).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2153409091,0.9195286195,0.1212121212,0.0503787879,1,28
"_Object8_, _Object9_, _Object10_",3,Hframe (11843).JPG,11,2,0.1602272727,0.5838383838,0.0060606061,0.0484848485,2,0.23125,0.5732323232,0.0045454545,0.0454545455,2,0.3002840909,0.565993266,0.0043560606,0.0478114478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3002840909,0.565993266,0.0478114478,0.0043560606,4,28
"_Object4_, _Object5_, _Object6_",3,Hframe (11844).JPG,8,2,0.7403409091,0.2457912458,0.021969697,0.2861952862,2,0.8086174242,0.2333333333,0.0308712121,0.3946127946,2,0.9670454545,0.2654882155,0.0473484848,0.530976431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9670454545,0.2654882155,0.530976431,0.0473484848,4,28
"_Object4_, _Object5_",2,Hframe (11845).JPG,6,2,0.6459280303,0.6508417508,0.0210227273,0.1474747475,2,0.7106060606,0.1984848485,0.0102272727,0.0595959596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7106060606,0.1984848485,0.0595959596,0.0102272727,3,28
,0,Hframe (11847).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7106060606,0.1984848485,0.0595959596,0.0102272727,1,28
_Object4_,1,Hframe (11848).JPG,5,2,0.4571969697,0.2303030303,0.0242424242,0.1771043771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4571969697,0.2303030303,0.1771043771,0.0242424242,2,28
"_Object4_, _Object5_",2,Hframe (1185).JPG,6,2,0.9152462121,0.812962963,0.0452651515,0.3740740741,2,0.6116477273,0.9265993266,0.0195075758,0.138047138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6116477273,0.9265993266,0.138047138,0.0195075758,3,28
_Object4_,1,Hframe (11852).JPG,5,2,0.265719697,0.4449494949,0.0556818182,0.1599326599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.265719697,0.4449494949,0.1599326599,0.0556818182,2,28
"_Object8_, _Object9_, _Object10_",3,Hframe (11854).JPG,11,2,0.2817234848,0.5755892256,0.0058712121,0.0501683502,2,0.3514204545,0.568013468,0.0043560606,0.0505050505,2,0.4198863636,0.562962963,0.0037878788,0.0471380471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4198863636,0.562962963,0.0471380471,0.0037878788,4,28
"_Object4_, _Object5_",2,Hframe (11856).JPG,6,2,0.7571969697,0.2173400673,0.0196969697,0.1141414141,2,0.6673295455,0.6087542088,0.0232954545,0.1272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6673295455,0.6087542088,0.1272727273,0.0232954545,3,28
"_Object4_, _Object5_, _Object6_",3,Hframe (11858).JPG,8,2,0.7737689394,0.3161616162,0.040719697,0.4942760943,2,0.6051136364,0.4070707071,0.0378787879,0.3387205387,2,0.5167613636,0.4622895623,0.0331439394,0.2558922559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5167613636,0.4622895623,0.2558922559,0.0331439394,4,28
,0,Hframe (1186).JPG,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5167613636,0.4622895623,0.2558922559,0.0331439394,1,28
"_Object4_, _Object5_",2,Hframe (11860).JPG,7,2,0.6105113636,0.2765993266,0.0164772727,0.1976430976,2,0.6746212121,0.681986532,0.0204545455,0.203030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6746212121,0.681986532,0.203030303,0.0204545455,3,28
"_Object8_, _Object9_, _Object10_",3,Hframe (11862).JPG,12,2,0.3851325758,0.4218855219,0.0035984848,0.0397306397,2,0.4389204545,0.4237373737,0.0028409091,0.0407407407,2,0.4925189394,0.4260942761,0.0028409091,0.0400673401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4925189394,0.4260942761,0.0400673401,0.0028409091,4,28
_Object4_,1,Hframe (11863).JPG,5,2,0.2854166667,0.1355218855,0.040530303,0.1875420875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2854166667,0.1355218855,0.1875420875,0.040530303,2,28
"_Object4_, _Object5_, _Object6_",3,Hframe (11866).JPG,8,2,0.4203598485,0.2242424242,0.0179924242,0.2518518519,2,0.6338068182,0.2045454545,0.0240530303,0.3195286195,2,0.9851325758,0.1912457912,0.0297348485,0.3824915825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.9851325758,0.1912457912,0.3824915825,0.0297348485,4,28
_Object4_,1,Hframe (11868).JPG,6,2,0.5690340909,0.8336700337,0.0130681818,0.0276094276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5690340909,0.8336700337,0.0276094276,0.0130681818,2,28
"_Object4_, _Object5_",2,Hframe (1187).JPG,7,2,0.7507575758,0.0313131313,0.0200757576,0.0626262626,2,0.7752840909,0.4577441077,0.0418560606,0.2313131313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7752840909,0.4577441077,0.2313131313,0.0418560606,3,28
"_Object6_, _Object7_, _Object8_",3,Hframe (11873).JPG,10,2,0.3443181818,0.4213804714,0.0034090909,0.0508417508,2,0.4113636364,0.421043771,0.0041666667,0.0494949495,2,0.4774621212,0.4227272727,0.0041666667,0.0474747475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4774621212,0.4227272727,0.0474747475,0.0041666667,4,28
_Object3_,1,Hframe (11874).JPG,4,2,0.2877840909,0.0631313131,0.0316287879,0.1262626263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2877840909,0.0631313131,0.1262626263,0.0316287879,2,28
"_Object4_, _Object5_",2,Hframe (11875).JPG,6,2,0.5964962121,0.8976430976,0.0179924242,0.2047138047,2,0.7773674242,0.6882154882,0.021780303,0.2161616162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7773674242,0.6882154882,0.2161616162,0.021780303,3,28
,0,Hframe (11877).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7773674242,0.6882154882,0.2161616162,0.021780303,1,28
"_Object6_, _Object7_, _Object8_",3,Hframe (11878).JPG,10,2,0.4829545455,0.3651515152,0.0045454545,0.0488215488,2,0.5443181818,0.3668350168,0.0045454545,0.0494949495,2,0.6064393939,0.3688552189,0.0045454545,0.0494949495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6064393939,0.3688552189,0.0494949495,0.0045454545,4,28
"_Object4_, _Object5_",2,Hframe (11879).JPG,7,2,0.553030303,0.7821548822,0.0113636364,0.0282828283,2,0.6024621212,0.0730639731,0.0068181818,0.0626262626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6024621212,0.0730639731,0.0626262626,0.0068181818,3,28
"_Object4_, _Object5_, _Object6_",3,Hframe (11880).JPG,8,2,0.3903409091,0.4594276094,0.025,0.2528619529,2,0.4796401515,0.5722222222,0.0327651515,0.3195286195,2,0.6431818182,0.7848484848,0.0393939394,0.4303030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6431818182,0.7848484848,0.4303030303,0.0393939394,4,28
,0,Hframe (11881).JPG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6431818182,0.7848484848,0.4303030303,0.0393939394,1,28
"_Object5_, _Object6_, _Object7_",3,Hframe (11882).JPG,9,2,0.40625,0.0708754209,0.0037878788,0.036026936,2,0.4478219697,0.0703703704,0.0028409091,0.0316498316,2,0.4889204545,0.0717171717,0.003219697,0.032996633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4889204545,0.0717171717,0.032996633,0.003219697,4,28
"_Object6_, _Object7_, _Object8_",3,Hframe (11884).JPG,10,2,0.3429924242,0.4148148148,0.0045454545,0.0666666667,2,0.4296401515,0.414983165,0.0051136364,0.0696969697,2,0.5147727273,0.4148148148,0.0053030303,0.0653198653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5147727273,0.4148148148,0.0653198653,0.0053030303,4,28
_Object3_,1,Hframe (11885).JPG,4,2,0.2863636364,0.0292929293,0.025,0.0585858586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2863636364,0.0292929293,0.0585858586,0.025,2,28
"_Object5_, _Object6_, _Object7_",3,Hframe (11887).JPG,8,2,0.1589015152,0.6033670034,0.009469697,0.0787878788,2,0.2756628788,0.5892255892,0.0073863636,0.0781144781,2,0.3888257576,0.578956229,0.0053030303,0.0757575758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3888257576,0.578956229,0.0757575758,0.0053030303,4,28
"_Object5_, _Object6_, _Object7_",3,Hframe (11889).JPG,9,2,0.4963068182,0.3572390572,0.0047348485,0.0599326599,2,0.5742424242,0.3606060606,0.0049242424,0.0626262626,2,0.653125,0.3663299663,0.0058712121,0.0606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.653125,0.3663299663,0.0606060606,0.0058712121,4,28
"_Object4_, _Object5_, _Object6_",3,Hframe (1189).JPG,8,2,0.2692234848,0.0836700337,0.0111742424,0.1094276094,2,0.4141098485,0.0505050505,0.0089015152,0.101010101,2,0.5506628788,0.0346801347,0.0107954545,0.0693602694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5506628788,0.0346801347,0.0693602694,0.0107954545,4,28
,0,Hframe (11892).JPG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5506628788,0.0346801347,0.0693602694,0.0107954545,1,28
"_Object4_, _Object5_, _Object6_",3,Hframe (11893).JPG,8,2,0.3471590909,0.0548821549,0.0034090909,0.0390572391,2,0.3952651515,0.0542087542,0.0034090909,0.0383838384,2,0.4425189394,0.0531986532,0.003219697,0.037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4425189394,0.0531986532,0.037037037,0.003219697,4,28
"_Object4_, _Object5_",2,Hframe (11894).JPG,7,2,0.4573863636,0.2983164983,0.0166666667,0.202020202,2,0.3870265152,0.6387205387,0.0195075758,0.2484848485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3870265152,0.6387205387,0.2484848485,0.0195075758,3,28
"_Object4_, _Object5_, _Object6_",3,Hframe (11895).JPG,8,2,0.4010416667,0.3720538721,0.0058712121,0.0929292929,2,0.521875,0.3663299663,0.0066287879,0.0936026936,2,0.6387310606,0.3606060606,0.0081439394,0.0909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6387310606,0.3606060606,0.0909090909,0.0081439394,4,28
_Object4_,1,Hframe (11896).JPG,5,2,0.2986742424,0.7525252525,0.0132575758,0.2181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2986742424,0.7525252525,0.2181818182,0.0132575758,2,28
"_Object4_, _Object5_",2,Hframe (11897).JPG,6,2,0.6083333333,0.9481481481,0.0193181818,0.1037037037,2,0.7979166667,0.8156565657,0.0231060606,0.2124579125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7979166667,0.8156565657,0.2124579125,0.0231060606,3,28
"_Object5_, _Object6_, _Object7_",3,Hframe (11898).JPG,8,2,0.3276515152,0.619023569,0.0079545455,0.1053872054,2,0.1677083333,0.6424242424,0.0119318182,0.1043771044,2,0.0040719697,0.6877104377,0.0081439394,0.0811447811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0040719697,0.6877104377,0.0811447811,0.0081439394,4,28
,0,Hframe (11899).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0040719697,0.6877104377,0.0811447811,0.0081439394,1,28
"_Object4_, _Object5_, _Object6_",3,Hframe (11902).JPG,8,2,0.5551136364,0.2008417508,0.0265151515,0.2023569024,2,0.5221590909,0.4941077441,0.0287878788,0.236026936,2,0.4707386364,0.9164983165,0.0259469697,0.167003367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4707386364,0.9164983165,0.167003367,0.0259469697,4,28
,0,Hframe (11903).JPG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4707386364,0.9164983165,0.167003367,0.0259469697,1,28
"_Object4_, _Object5_, _Object6_",3,Hframe (11906).JPG,8,2,0.3353219697,0.4090909091,0.0134469697,0.1521885522,2,0.5267992424,0.3609427609,0.0096590909,0.1474747475,2,0.7007575758,0.3164983165,0.0151515152,0.1407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.7007575758,0.3164983165,0.1407407407,0.0151515152,4,28
"_Object4_, _Object5_",2,Hframe (11907).JPG,6,2,0.2668560606,0.5765993266,0.0166666667,0.198989899,2,0.3209280303,0.8861952862,0.021780303,0.2276094276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3209280303,0.8861952862,0.2276094276,0.021780303,3,28
"_Object4_, _Object5_",2,Hframe (11908).JPG,6,2,0.8198863636,0.8250841751,0.0265151515,0.231986532,2,0.6694128788,0.9654882155,0.0206439394,0.069023569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.6694128788,0.9654882155,0.069023569,0.0206439394,3,28
"_Object3_, _Object4_",2,Hframe (11909).JPG,5,2,0.1010416667,0.8547138047,0.0240530303,0.1363636364,2,0.346780303,0.7833333333,0.0159090909,0.1336700337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.346780303,0.7833333333,0.1336700337,0.0159090909,3,28
,0,Hframe (1191).JPG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.346780303,0.7833333333,0.1336700337,0.0159090909,1,28
_Object4_,1,Hframe (11912).JPG,6,2,0.5709280303,0.6702020202,0.0130681818,0.0400673401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5709280303,0.6702020202,0.0400673401,0.0130681818,2,28
